"filename", "language", "JavaScript", "PostCSS", "comment", "blank", "total"
"/home/whitebow/Documents/dev/encheres-project/frontend/src/App.css", "PostCSS", 0, 41, 0, 7, 48
"/home/whitebow/Documents/dev/encheres-project/frontend/src/App.js", "JavaScript", 53, 0, 0, 2, 55
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/ModernCard.module.css", "PostCSS", 0, 63, 0, 11, 74
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/ModernDialog.module.css", "PostCSS", 0, 70, 0, 16, 86
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/ModernTable.module.css", "PostCSS", 0, 34, 0, 6, 40
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/bundles/AddBundleDialog.js", "JavaScript", 152, 0, 0, 2, 154
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/bundles/AddBundleDialog.module.css", "PostCSS", 0, 29, 0, 6, 35
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/bundles/BundleCard.js", "JavaScript", 84, 0, 0, 3, 87
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/bundles/SellBundleDialog.js", "JavaScript", 97, 0, 0, 2, 99
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/common/ErrorAlert.js", "JavaScript", 23, 0, 0, 2, 25
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/common/Loading.js", "JavaScript", 21, 0, 0, 2, 23
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/layout/Header.js", "JavaScript", 46, 0, 0, 7, 53
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/layout/Header.module.css", "PostCSS", 0, 75, 0, 12, 87
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/BillCustomizationDialog.js", "JavaScript", 171, 0, 1, 13, 185
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/BulkImportForm.js", "JavaScript", 23, 0, 0, 2, 25
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/BulkImportForm.module.css", "PostCSS", 0, 17, 0, 2, 19
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/ParticipantForm.js", "JavaScript", 127, 0, 2, 7, 136
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/ParticipantForm.module.css", "PostCSS", 0, 19, 2, 3, 24
"/home/whitebow/Documents/dev/encheres-project/frontend/src/components/participants/ParticipantTable.js", "JavaScript", 88, 0, 0, 4, 92
"/home/whitebow/Documents/dev/encheres-project/frontend/src/context/AuctionContext.js", "JavaScript", 275, 0, 21, 40, 336
"/home/whitebow/Documents/dev/encheres-project/frontend/src/index.css", "PostCSS", 0, 43, 0, 8, 51
"/home/whitebow/Documents/dev/encheres-project/frontend/src/index.js", "JavaScript", 15, 0, 0, 1, 16
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/Dashboard.js", "JavaScript", 258, 0, 3, 15, 276
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/Dashboard.module.css", "PostCSS", 0, 188, 0, 36, 224
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/ParticipantManagement.js", "JavaScript", 0, 0, 0, 1, 1
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/ParticipantManagement.module.css", "PostCSS", 0, 0, 0, 1, 1
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/Reports.js", "JavaScript", 247, 0, 0, 17, 264
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/Reports.module.css", "PostCSS", 0, 114, 0, 20, 134
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/SalesTracking.js", "JavaScript", 373, 0, 0, 13, 386
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/SalesTracking.module.css", "PostCSS", 0, 69, 0, 11, 80
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/auctions/AuctionDetail.js", "JavaScript", 185, 0, 0, 12, 197
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/auctions/AuctionManagement.js", "JavaScript", 199, 0, 3, 13, 215
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/auctions/AuctionManagement.module.css", "PostCSS", 0, 33, 0, 5, 38
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/bundles/BundleManagement.js", "JavaScript", 261, 0, 16, 34, 311
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/bundles/BundleManagement.module.css", "PostCSS", 0, 69, 0, 13, 82
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/clients/ClientDetail.js", "JavaScript", 466, 0, 4, 33, 503
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/clients/ClientDetail.module.css", "PostCSS", 0, 143, 1, 27, 171
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/clients/ClientsDirectory.js", "JavaScript", 219, 0, 3, 19, 241
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/clients/ClientsDirectory.module.css", "PostCSS", 0, 99, 0, 19, 118
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/participants/ParticipantDetail.js", "JavaScript", 321, 0, 7, 31, 359
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/participants/ParticipantDetail.module.css", "PostCSS", 0, 231, 0, 39, 270
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/participants/ParticipantManagement.js", "JavaScript", 270, 0, 14, 28, 312
"/home/whitebow/Documents/dev/encheres-project/frontend/src/pages/participants/ParticipantManagement.module.css", "PostCSS", 0, 109, 1, 20, 130
"/home/whitebow/Documents/dev/encheres-project/frontend/src/services/api.js", "JavaScript", 155, 0, 6, 32, 193
"/home/whitebow/Documents/dev/encheres-project/frontend/src/styles/buttons.module.css", "PostCSS", 0, 32, 0, 4, 36
"/home/whitebow/Documents/dev/encheres-project/frontend/src/styles/globals.css", "PostCSS", 0, 52, 5, 11, 68
"/home/whitebow/Documents/dev/encheres-project/frontend/src/styles/theme.js", "JavaScript", 31, 0, 0, 2, 33
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/api.js", "JavaScript", 10, 0, 0, 2, 12
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/bundleUtils.js", "JavaScript", 8, 0, 2, 2, 12
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/formatters.js", "JavaScript", 30, 0, 0, 4, 34
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/imageHandlers.js", "JavaScript", 18, 0, 17, 5, 40
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/participantUtils.js", "JavaScript", 41, 0, 18, 6, 65
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/pdfUtils.js", "JavaScript", 94, 0, 27, 16, 137
"/home/whitebow/Documents/dev/encheres-project/frontend/src/utils/utils.js", "JavaScript", 27, 0, 1, 5, 33
"Total", "-", 4388, 1530, 154, 654, 6726
